cnt,title,description,link,pDate
47,가천대 통합 10주년 기념 시민초청 오페라 '마술피리' 공연,가천대학교(총장 <b>이길여</b>)가 통합 10주년을 맞아 오는 3~4일 시민초청 오페라 공연 '마술피리'를 대학 예음홀 무대에 올린다. 마술피리 오페라 포스터. 가천대는 2012년 통합 당시 기념 오페라 공연이 시민들의 큰 호응을... ,http://www.kyosu.net/news/articleView.html?idxno=88041,2022-04-27 10:14:00
48,"가천대, 배터리 전문업체 코캄(KOKAM)과 산학협력",가천대(총장 <b>이길여</b>)는 26일 대학 가천관에서 혁신적인 배터리 솔루션의 글로벌 공급업체이자 SolarEdge... <b>이길여</b> 총장은 “우리 대학은 기업체를 대학으로 초청해 산학협력을 강화하고 있다. 리튬 이온 배터리 분야... ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001983177,2022-04-26 19:22:00
49,"가천대, 배터리 설루션社 코캄과 인재양성 맞손",가천대학교(총장·<b>이길여</b>)가 혁신적인 배터리 설루션의 글로벌 공급업체이자 'SolarEdge Technologies'의 자회사인 코캄과 손잡고 연구 및 인재 양성에 나선다.양 기관은 26일 가천대 가천관에서 <b>이길여</b> 총장(사진 가운데)... ,http://www.kyeongin.com/main/view.php?key=20220426010005267,2022-04-26 19:00:00
50,"가천대-코캄, 첨단에너지저장 연구·인재 양성 위해 '맞손'",가천대 <b>이길여</b> 총장은 &quot;우리 대학은 기업체를 대학으로 초청해 산학협력을 강화하고 있다. 리튬이온 배터리 분야의 세계적인 기업 코캄의 부설 연구소 설치는 올해 배터리공학과 신설을 추진하는 우리 대학의... ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004738044,2022-04-26 17:14:00
51,"가천대, 배터리 전문업체 코캄과 산학협력 ‘협약’",<b>이길여</b> 가천대 총장은 “우리 대학은 기업체를 대학으로 초청해 산학협력을 강화하고 있다. 리튬 이온 배터리 분야 세계적 기업인 코캄의 부설 연구소 설치는 올해 배터리공학과 신설을 추진하는 우리대학의... ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0006054094,2022-04-26 17:11:00
52,"가천대, 배터리 전문업체 코캄(KOKAM)과 산학협력 협약 체결",<b>이길여</b> 총장은 “우리 대학은 기업체를 대학으로 초청해 산학협력을 강화하고 있다. 리튬 이온 배터리 분야 세계적 기업인 코캄의 부설 연구소 설치는 올해 배터리공학과 신설을 추진하는 우리대학 경쟁력을 더... ,https://www.ajunews.com/view/20220426165438799,2022-04-26 17:06:00
53,"농구원로 방열, 자서전 ‘인생이라는 코트 위에서’ 출간","회장은 농구와 함께한 시간, 가족, 동문, 은사, 그리고 지도했던 선수들의 이야기 등을 이 책에 담았다. 한국 현대농구사인 셈. <b>이길여</b> 가천대 총장과 이기흥 대한체육회장이 추천사를 썼다. 대경북스. 512쪽. 2만2000원.",https://sports.news.naver.com/news.nhn?oid=021&aid=0002511247,2022-04-26 11:16:00
54,"방열 전 농구협회장, 자서전 '인생이라는 코트 위에서' 출간","학교 동문, 은사, 지도자 시절 선수들, 외국인 코치, 농구 전문가들의 이야기까지 개인사이자 한국 현대 농구사를 담았다. <b>이길여</b> 가천대학교 총장과 이기흥 대한체육회장이 추천사를 썼다. 대경북스. 512쪽. 2만2천원.",https://sports.news.naver.com/news.nhn?oid=425&aid=0000128148,2022-04-26 10:43:00
55,"방열 전 농구협회장, 자서전 '인생이라는 코트 위에서' 출간","학교 동문, 은사, 지도자 시절 선수들, 외국인 코치, 농구 전문가들의 이야기까지 개인사이자 한국 현대 농구사를 담았다. <b>이길여</b> 가천대학교 총장과 이기흥 대한체육회장이 추천사를 썼다. 대경북스. 512쪽. 2만2천원.",https://sports.news.naver.com/news.nhn?oid=001&aid=0013137768,2022-04-26 09:56:00
56,"가천문화재단, 인천도호부관아서 봄맞이 행사 개최", 가천문화재단(설립자 <b>이길여</b>·이사장 윤성태)은 인천도호부관아를 통해 시민들이 가족과 함께 전통문화를 즐기면서 봄의 정취를 만끽할 수 있도록 다양한 봄맞이 체험행사를 준비했다고 밝혔다. 인천도호부관아에서... ,http://www.bosa.co.kr/news/articleView.html?idxno=2172199,2022-04-21 11:24:00
57,"가천대, 골프 최고위과정 1기 입학식 성료","이날 행사에는 <b>이길여</b> 총장, 윤원중 부총장, 박상용 총무처장, 이영호 평생교육원장, 서원식 대외협력처장... <b>이길여</b> 가천대 총장은 축사를 통해 &quot;가천대학교 골프 최고위 과정을 통해 즐겁고 전문적인 골프를 배우길... ",https://www.job-post.co.kr/news/articleView.html?idxno=50880,2022-04-20 12:04:00
58,가천대 이은자 명예교수 '후학 양성 대학발전기금' 기탁,가천대학교(총장·<b>이길여</b>) 간호학과 이은자 명예교수가 대학 발전과 후학양성에 힘써달라며 최근 발전기금 1천만원을 최미리 가천대 수석부총장에게 맡겼다. 최 수석부총장은 감사의 마음을 담아 이 교수에게 감사패를... ,http://www.kyeongin.com/main/view.php?key=20220419010003677,2022-04-19 19:34:00
59,"이은자 가천대 명예교수, 발전기금",가천대학교(총장 <b>이길여</b>) 간호학과 이은자 명예교수가 대학 발전과 후학 양성에 힘써 달라며 19일 발전기금 1000만원을 최미리 가천대 수석부총장에게 전달했다. 올해 2월 정년을 맞이한 이은자 교수는 재직 기간 중... ,http://www.incheonilbo.com/news/articleView.html?idxno=1140544,2022-04-19 17:36:00
60,"가천대 이은자 간호학과 명예교수, 발전기금 1000만 원 쾌척","최미리 수석부총장, 이은자 교수 (사진=가천대 제공)  가천대학교(총장 <b>이길여</b>) 간호학과 이은자 명예교수가 대학 발전과 후학양성에 힘써달라며 발전기금 1000만 원을 최미리 가천대 수석부총장에게 전달했다. 올해 2월... ",http://news.unn.net/news/articleView.html?idxno=527031,2022-04-19 16:06:00
61,가천대 '인천시민대학 시민라이프칼리지' 개소,"가천대학교(총장·<b>이길여</b>) 메디컬캠퍼스 부설 평생교육원이 14일 약학대학 5층 강당에서 '2022학년도... 최미리 가천대 수석부총장은 &quot;가천대는 길병원, 뇌과학연구원, <b>이길여</b>암당뇨연구원, 가천박물관 등 우수한 인프라를... ",http://www.kyeongin.com/main/view.php?key=20220414010002815,2022-04-14 21:02:00
